name,num_sellers,avg_price,min_price,q1_price,median_price,q3_price
Blasphemous Act,37,7.6256756756756765,3.45,3.99,4.66,6.99
Brainstorm,50,6.428799999999999,0.75,2.27,4.529999999999999,9.0625
Chaos Warp,50,5.698,0.84,2.27,2.86,7.8
Chemister's Insight,31,0.2174193548387097,0.02,0.045,0.12,0.235
Curiosity,6,12.46,0.35,3.05,3.63,23.635
Faithless Looting,30,3.7379999999999995,0.5,1.0625,1.6949999999999998,4.63
Goblin Electromancer,45,0.34844444444444433,0.02,0.1,0.15,0.5
Guttersnipe,23,0.3630434782608695,0.08,0.175,0.2,0.49
Izzet Signet,15,6.887333333333333,0.52,1.74,1.74,6.805
Psychosis Crawler,50,0.841,0.1,0.25,0.395,1.1225
Reliquary Tower,25,12.1576,2.11,2.74,5.77,9.26
Sky Diamond,50,0.09759999999999999,0.03,0.07,0.11,0.12
Tandem Lookout,7,0.6528571428571429,0.16,0.235,0.5,0.5
Wizard Class,4,2.2175,1.75,1.93,2.13,2.4175
Young Pyromancer,50,1.183,0.18,0.4925,0.615,1.7375
