seller_name,count,nunique,set
BoomKegGaming,31,10,"{'Psychosis Crawler', 'Young Pyromancer', 'Reliquary Tower', 'Izzet Signet', 'Brainstorm', 'Chaos Warp', 'Wizard Class', 'Blasphemous Act', 'Faithless Looting', 'Goblin Electromancer'}"
castlecards,20,10,"{'Psychosis Crawler', 'Reliquary Tower', 'Curiosity', 'Izzet Signet', 'Tandem Lookout', 'Brainstorm', ""Chemister's Insight"", 'Chaos Warp', 'Blasphemous Act', 'Faithless Looting'}"
BulldogCardTraders,46,9,"{'Psychosis Crawler', 'Young Pyromancer', 'Curiosity', 'Izzet Signet', 'Brainstorm', 'Chaos Warp', 'Blasphemous Act', 'Faithless Looting', 'Goblin Electromancer'}"
czesctuariel,16,9,"{'Reliquary Tower', 'Sky Diamond', 'Brainstorm', 'Guttersnipe', 'Chaos Warp', 'Wizard Class', 'Blasphemous Act', 'Faithless Looting', 'Goblin Electromancer'}"
TheGamesDen,12,9,"{'Young Pyromancer', 'Reliquary Tower', 'Sky Diamond', 'Tandem Lookout', 'Brainstorm', 'Chaos Warp', 'Wizard Class', 'Faithless Looting', 'Goblin Electromancer'}"
raptorgame,19,8,"{'Psychosis Crawler', 'Izzet Signet', 'Sky Diamond', 'Brainstorm', ""Chemister's Insight"", 'Chaos Warp', 'Faithless Looting', 'Goblin Electromancer'}"
TheVenuePlymouth,13,8,"{'Reliquary Tower', 'Sky Diamond', 'Tandem Lookout', 'Brainstorm', 'Chaos Warp', 'Blasphemous Act', 'Psychosis Crawler', 'Goblin Electromancer'}"
Scotsman26777,20,8,"{'Psychosis Crawler', 'Reliquary Tower', 'Curiosity', 'Izzet Signet', ""Chemister's Insight"", 'Chaos Warp', 'Blasphemous Act', 'Faithless Looting'}"
webuyanycard,8,7,"{'Psychosis Crawler', 'Young Pyromancer', 'Reliquary Tower', 'Brainstorm', ""Chemister's Insight"", 'Blasphemous Act', 'Faithless Looting'}"
Sammy3551,7,7,"{'Young Pyromancer', 'Sky Diamond', 'Brainstorm', 'Guttersnipe', 'Chaos Warp', 'Izzet Signet', 'Goblin Electromancer'}"
FyndhornGames,8,6,"{'Young Pyromancer', 'Curiosity', 'Brainstorm', ""Chemister's Insight"", 'Faithless Looting', 'Goblin Electromancer'}"
sanimrr,6,6,"{'Young Pyromancer', 'Reliquary Tower', 'Guttersnipe', 'Chaos Warp', 'Blasphemous Act', 'Faithless Looting'}"
Gear-Head-Games,14,6,"{'Izzet Signet', 'Tandem Lookout', 'Guttersnipe', ""Chemister's Insight"", 'Psychosis Crawler', 'Goblin Electromancer'}"
Recollect-Ltd,10,6,"{'Young Pyromancer', 'Brainstorm', 'Chaos Warp', 'Blasphemous Act', 'Faithless Looting', 'Goblin Electromancer'}"
Richmighty,8,5,"{'Young Pyromancer', 'Guttersnipe', 'Faithless Looting', 'Psychosis Crawler', 'Goblin Electromancer'}"
Lukse,7,5,"{'Young Pyromancer', 'Reliquary Tower', 'Curiosity', 'Chaos Warp', 'Psychosis Crawler'}"
CloakCollectibles,11,5,"{'Sky Diamond', 'Faithless Looting', ""Chemister's Insight"", 'Chaos Warp', 'Psychosis Crawler'}"
Yukizora,10,5,"{'Young Pyromancer', 'Reliquary Tower', 'Brainstorm', 'Faithless Looting', 'Izzet Signet'}"
TheCrackInSpace,5,5,"{'Young Pyromancer', 'Reliquary Tower', 'Guttersnipe', 'Chaos Warp', 'Izzet Signet'}"
lebenski,22,5,"{'Young Pyromancer', 'Tandem Lookout', 'Guttersnipe', ""Chemister's Insight"", 'Goblin Electromancer'}"
Magictony216,8,5,"{'Sky Diamond', 'Brainstorm', 'Guttersnipe', 'Chaos Warp', 'Goblin Electromancer'}"
